Series ID,Year,Period,Label,Value
CEU0500000011,2015,M01,2015 Jan,850.55
CEU0500000011,2015,M02,2015 Feb,866.73
CEU0500000011,2015,M03,2015 Mar,868.89
CEU0500000011,2015,M04,2015 Apr,857.94
CEU0500000011,2015,M05,2015 May,855.87
CEU0500000011,2015,M06,2015 Jun,854.22
CEU0500000011,2015,M07,2015 Jul,856.64
CEU0500000011,2015,M08,2015 Aug,878.55
CEU0500000011,2015,M09,2015 Sep,859.22
CEU0500000011,2015,M10,2015 Oct,867.33
CEU0500000011,2015,M11,2015 Nov,882.88
CEU0500000011,2015,M12,2015 Dec,869.4
CEU0500000011,2016,M01,2016 Jan,872.1
CEU0500000011,2016,M02,2016 Feb,868.87
CEU0500000011,2016,M03,2016 Mar,871.76
CEU0500000011,2016,M04,2016 Apr,877.74
CEU0500000011,2016,M05,2016 May,888.18
CEU0500000011,2016,M06,2016 Jun,874.1
CEU0500000011,2016,M07,2016 Jul,877.89
CEU0500000011,2016,M08,2016 Aug,877.2
CEU0500000011,2016,M09,2016 Sep,885.11
CEU0500000011,2016,M10,2016 Oct,905.5
CEU0500000011,2016,M11,2016 Nov,886.31
CEU0500000011,2016,M12,2016 Dec,887.34
CEU0500000011,2017,M01,2017 Jan,905.06
CEU0500000011,2017,M02,2017 Feb,892.4
CEU0500000011,2017,M03,2017 Mar,891.37
CEU0500000011,2017,M04,2017 Apr,914.13
CEU0500000011,2017,M05,2017 May,896.26
CEU0500000011,2017,M06,2017 Jun,895.43
CEU0500000011,2017,M07,2017 Jul,916.98
CEU0500000011,2017,M08,2017 Aug,900.25
CEU0500000011,2017,M09,2017 Sep,907.58
CEU0500000011,2017,M10,2017 Oct,926.38
CEU0500000011,2017,M11,2017 Nov,910.57
CEU0500000011,2017,M12,2017 Dec,917.01
CEU0500000011,2018,M01,2018 Jan,913.24
CEU0500000011,2018,M02,2018 Feb,920.61
CEU0500000011,2018,M03,2018 Mar,921.64
